endTime,artistName,trackName,msPlayed
2024-01-03 18:16,AP Dhillon,TERE TE,114418
2024-01-03 18:20,Anuv Jain,Gul,217250
2024-01-03 18:20,Vismay Patel,Pal Behta Jaaye,41655
2024-01-04 17:36,Atif Aslam,Woh Lamhe Woh Baatein,1401
2024-01-04 17:36,Atif Aslam,Woh Lamhe Woh Baatein,770
2024-01-04 17:36,Atif Aslam,Woh Lamhe Woh Baatein,42608
2024-01-04 17:36,Atif Aslam,Woh Lamhe Woh Baatein,547
2024-01-04 17:36,OneRepublic,Counting Stars,1443
2024-01-04 17:36,CKay,love nwantiti (ah ah ah),2083
2024-01-04 17:36,CKay,love nwantiti (ah ah ah),7457
2024-01-04 17:36,CKay,love nwantiti (ah ah ah),20
2024-01-04 17:38,Satinder Sartaaj,Udaarian,78820
2024-01-04 17:39,Talha Anjum,Downers At Dusk,4948
2024-01-04 17:40,Talha Anjum,Downers At Dusk,67963
2024-01-04 17:41,RCR,Ae Dil Hai Mushkil X,25040
2024-01-04 17:41,King,King - Rap Battle #1,1535
2024-01-04 17:44,King,Aye Jaani,132260
2024-01-04 17:45,King,Usool,98436
2024-01-04 18:17,Vishal Mishra,Manjha,21170
2024-01-05 16:12,Gurinder Gill,WAKE UP,126795
2024-01-05 16:13,Gurinder Gill,BREATHE,4617
2024-01-05 16:13,Gurinder Gill,WAKE UP,46248
2024-01-05 16:16,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",125557
2024-01-05 16:17,Gurinder Gill,WAKE UP,76681
2024-01-05 16:20,Sidhu Moose Wala,295,204850
2024-01-05 17:23,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",134400
2024-01-05 17:24,King,Tu Aake Dekhle,7100
2024-01-05 17:25,Gurinder Gill,WAKE UP,76660
2024-01-05 17:40,Gurinder Gill,NETWORK,20160
2024-01-05 18:13,Gurinder Gill,NETWORK,8227
2024-01-05 18:16,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",152165
2024-01-05 18:17,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",1021
2024-01-05 18:18,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",87892
2024-01-05 18:26,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",97512
2024-01-05 18:30,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",3910
2024-01-05 18:38,Manan Bhardwaj,"Arjan Vailly (From ""ANIMAL"")",9440
2024-01-05 19:27,Satinder Sartaaj,Udaarian,580
2024-01-05 19:28,Gurinder Gill,WAKE UP,49292
2024-01-05 19:29,Gurinder Gill,NETWORK,38821
2024-01-05 19:29,AP Dhillon,Deadly,4327
2024-01-05 20:36,Mankirt Aulakh,Badnam ( Orignal Version ),50898
2024-01-06 08:03,Gurinder Gill,WAKE UP,29330
2024-01-06 08:04,Gurinder Gill,NETWORK,8525
2024-01-06 09:01,Mankirt Aulakh,Badnam ( Orignal Version ),54532
2024-01-06 09:18,Mankirt Aulakh,Badnam ( Orignal Version ),8472
